0	0	0	0	0	0	0	0	
0	333.078	380.473	428.54	476.515	524.317	573.432	620	
0	332.509	381.058	429.167	479.024	524.672	573.171	622.748	
0	335.286	382.669	429.495	477.577	524.768	573.752	622.921	
0	335.341	382.728	430.911	476.388	525.454	573.736	622.777	
0	335.52	383.458	430.752	478.545	525.708	574.445	623.372	
0	335.556	383.099	431.098	479.094	526.469	574.727	624.295	
0	335.56	383.793	431.564	478.875	526.748	575.772	624.517	

0	0	0	0	0	0	0	0	
0	82.4892	81.2557	81.4494	79.0309	79.8164	79.205	79	
0	130.307	130.576	130.071	128.795	127.586	127.664	127.488	
0	178.45	177.81	177.506	176.224	175.77	175.419	174.803	
0	225.436	224.253	224.357	224.88	223.827	223.591	222.965	
0	272.737	272.543	271.654	271.866	271.529	271.506	270.809	
0	320.395	320.299	320.317	319.37	319.687	319.472	319.446	
0	368.298	368.385	367.524	367.615	367.5	367.351	367.462	
